78607.68220339,43165.45333333,198.00545198,0.06666667
73657.57627119,49501.66666667,198.00545198,0.12156863
68707.47033898,16632.56000000,198.00545198,0.24313725
69103.47881356,52867.78000000,198.00545198,0.30588235
63559.36016949,29304.98666667,198.00545198,0.34509804
57421.22881356,7128.24000000,198.00545198,0.33725490
80785.72881356,18018.60666667,198.00545198,0.30588235
63559.36016949,29304.98666667,198.00545198,0.34509804
69103.47881356,52867.78000000,198.00545198,0.30588235
69103.47881356,52867.78000000,198.00545198,0.30588235
